id,sourceKey,sourceOrder,sourceName,sourceTitle,level,word,displayWord,slug,homograph,sense,partOfSpeech,meaningTh,meaningThClean,pronunciationTh,pronunciationThClean,ipa,exampleEn,exampleTh,notes,status,createdAt,updatedAt
oxford-3000-american::academic::adj::B1,oxford-3000-american::academic::adj::B1,9,oxford-3000-american,The Oxford 3000™ (American English),B1,academic,academic,academic,,,adj.,เชิง วิ ชา ก า ร,เชิงวิชาการ,แอ เข อ ะ iz ห ม ิ ขึ,แอเขอะizหมิขึ,,,,,draft,2026-07-08T07:49:17.530+00:00,2026-07-08T08:29:22.776+00:00
oxford-3000-american::accept::v::A2,oxford-3000-american::accept::v::A2,10,oxford-3000-american,The Oxford 3000™ (American English),A2,accept,accept,accept,,,v.,ขอ ม ร ั บ,ขอมรับ,แอ ่ ขี เซ ๊ ะ ผี ถื,แอ่ขีเซ๊ะผีถื,,,,,draft,2026-07-08T07:49:17.533+00:00,2026-07-08T08:29:22.781+00:00
oxford-3000-american::acceptable::adj::B2,oxford-3000-american::acceptable::adj::B2,11,oxford-3000-american,The Oxford 3000™ (American English),B2,acceptable,acceptable,acceptable,,,adj.,ย อ ม ร ั บ ได ้,ยอมรับได้,แอ ่ ขึ เซ ้ ะ ผี เถ อ ะ เบ อ ะ ล,แอ่ขึเซ้ะผีเถอะเบอะล,,,,,draft,2026-07-08T07:49:17.536+00:00,2026-07-08T08:29:22.787+00:00
oxford-3000-american::access::n::B1,oxford-3000-american::access::n::B1,12,oxford-3000-american,The Oxford 3000™ (American English),B1,access,access,access,,,n.,เข ้ า ถึ ง,เข้าถึง,Wa ขี เซ ะ a,Waขีเซะa,,,,,draft,2026-07-08T07:49:17.539+00:00,2026-07-08T08:29:22.791+00:00
oxford-3000-american::access::v::B1,oxford-3000-american::access::v::B1,12,oxford-3000-american,The Oxford 3000™ (American English),B1,access,access,access,,,v.,เข ้ า ถึ ง,เข้าถึง,Wa ขี เซ ะ a,Waขีเซะa,,,,,draft,2026-07-08T07:49:17.543+00:00,2026-07-08T08:29:22.791+00:00
oxford-3000-american::accident::n::A2,oxford-3000-american::accident::n::A2,13,oxford-3000-american,The Oxford 3000™ (American English),A2,accident,accident,accident,,,n.,อ ุ บ ั ต ิ เห ต ุ,อุบัติเหตุ,แอ ๊ ขี เส อ ะ เด อ ะ น ถึ,แอ๊ขีเสอะเดอะนถึ,,,,,draft,2026-07-08T07:49:17.546+00:00,2026-07-08T08:29:22.796+00:00
oxford-3000-american::accompany::v::B2,oxford-3000-american::accompany::v::B2,14,oxford-3000-american,The Oxford 3000™ (American English),B2,accompany,accompany,accompany,,,v.,ม า พ ร ้ อ ม ก ั บ,มาพร้อมกับ,เอ อ ะ ค ะ ม เ ผ อ ะ ห น ึ ่,เออะคะมเผอะหนึ่,,,,,draft,2026-07-08T07:49:17.549+00:00,2026-07-08T08:29:22.809+00:00
oxford-3000-american::according-to::prep::A2,oxford-3000-american::according-to::prep::A2,15,oxford-3000-american,The Oxford 3000™ (American English),A2,according to,according to,according-to,,,prep.,ต า ม,ตาม,เอ อ ะ โค ้ (ร ) ด ิ ง,เออะโค้(ร)ดิง,,,,,draft,2026-07-08T07:49:17.552+00:00,2026-07-08T08:29:22.822+00:00
oxford-3000-american::account::n::B1,oxford-3000-american::account::n::B1,16,oxford-3000-american,The Oxford 3000™ (American English),B1,account,account,account,,,n.,บ ั ญ ชี,บัญชี,เอ อ ะ ค ้ า ว น ถึ,เออะค้าวนถึ,,,,,draft,2026-07-08T07:49:17.555+00:00,2026-07-08T08:29:22.825+00:00
oxford-3000-american::account::v::B2,oxford-3000-american::account::v::B2,16,oxford-3000-american,The Oxford 3000™ (American English),B2,account,account,account,,,v.,บ ั ญ ชี,บัญชี,เอ อ ะ ค ้ า ว น ถึ,เออะค้าวนถึ,,,,,draft,2026-07-08T07:49:17.558+00:00,2026-07-08T08:29:22.825+00:00
oxford-3000-american::accurate::adj::B2,oxford-3000-american::accurate::adj::B2,17,oxford-3000-american,The Oxford 3000™ (American English),B2,accurate,accurate,accurate,,,adj.,แม ่ น ย ํ า,แม่นยํา,แอ ๊ ขึ เห ย ่ อ ร เห ร อ ะ ถึ,แอ๊ขึเหย่อรเหรอะถึ,,,,,draft,2026-07-08T07:49:17.561+00:00,2026-07-08T08:29:22.828+00:00
oxford-3000-american::accuse::v::B2,oxford-3000-american::accuse::v::B2,18,oxford-3000-american,The Oxford 3000™ (American English),B2,accuse,accuse,accuse,,,v.,ก ล ่ า ว โท ษ,กล่าวโทษ,เอ อ ะ ขี ย ู ้ สึ,เออะขียู้สึ,,,,,draft,2026-07-08T07:49:17.564+00:00,2026-07-08T08:29:22.842+00:00
oxford-3000-american::achieve::v::A2,oxford-3000-american::achieve::v::A2,19,oxford-3000-american,The Oxford 3000™ (American English),A2,achieve,achieve,achieve,,,v.,บ ร ร ล ุ,บรรลุ,เอ อ ะ ชี ้ ฝี,เออะชี้ฝี,,,,,draft,2026-07-08T07:49:17.567+00:00,2026-07-08T08:29:22.851+00:00
oxford-3000-american::achievement::n::B1,oxford-3000-american::achievement::n::B1,20,oxford-3000-american,The Oxford 3000™ (American English),B1,achievement,achievement,achievement,,,n.,ค ว า ม ส ํ า เร ็ จ,ความสําเร็จ,เอ อ ะ ชี ้ ฝี เห ม อ ะ น ถึ,เออะชี้ฝีเหมอะนถึ,,,,,draft,2026-07-08T07:49:17.570+00:00,2026-07-08T08:29:22.855+00:00
oxford-3000-american::acknowledge::v::B2,oxford-3000-american::acknowledge::v::B2,21,oxford-3000-american,The Oxford 3000™ (American English),B2,acknowledge,acknowledge,acknowledge,,,v.,ร ั บ ท ร า บ,รับทราบ,ud ขี น้ า ห ล ี จ ื,udขีน้าหลีจื,,,,,draft,2026-07-08T07:49:17.573+00:00,2026-07-08T08:29:22.858+00:00
oxford-3000-american::acquire::v::B2,oxford-3000-american::acquire::v::B2,22,oxford-3000-american,The Oxford 3000™ (American English),B2,acquire,acquire,acquire,,,v.,ได ้ ร ั บ,ได้รับ,เอ อ ะ ค ว ้ า ย เอ ่ อ ร,เออะคว้ายเอ่อร,,,,,draft,2026-07-08T07:49:17.576+00:00,2026-07-08T08:29:22.862+00:00
oxford-3000-american::across::prep::A1,oxford-3000-american::across::prep::A1,23,oxford-3000-american,The Oxford 3000™ (American English),A1,across,across,across,,,prep.,ข้ า ม,ข้าม,เอ อ ะ ค ร ้ อ a,เออะคร้อa,,,,,draft,2026-07-08T07:49:17.579+00:00,2026-07-08T08:29:22.868+00:00
oxford-3000-american::across::adv::A1,oxford-3000-american::across::adv::A1,23,oxford-3000-american,The Oxford 3000™ (American English),A1,across,across,across,,,adv.,ข้ า ม,ข้าม,เอ อ ะ ค ร ้ อ a,เออะคร้อa,,,,,draft,2026-07-08T07:49:17.582+00:00,2026-07-08T08:29:22.868+00:00
oxford-3000-american::act::v::A2,oxford-3000-american::act::v::A2,24,oxford-3000-american,The Oxford 3000™ (American English),A2,act,act,act,,,v.,ก ร ะ ท ํ า,กระทํา,แอ ขี ถึ,แอขีถึ,,,,,draft,2026-07-08T07:49:17.585+00:00,2026-07-08T08:29:22.873+00:00
oxford-3000-american::act::n::B1,oxford-3000-american::act::n::B1,24,oxford-3000-american,The Oxford 3000™ (American English),B1,act,act,act,,,n.,ก ร ะ ท ํ า,กระทํา,แอ ขี ถึ,แอขีถึ,,,,,draft,2026-07-08T07:49:17.588+00:00,2026-07-08T08:29:22.873+00:00
oxford-3000-american::action::n::A1,oxford-3000-american::action::n::A1,25,oxford-3000-american,The Oxford 3000™ (American English),A1,action,action,action,,,n.,ก า ร ก ร ะ ท ํ า,การกระทํา,แอ ๊ ขี เฉ อ ะ น,แอ๊ขีเฉอะน,,,,,draft,2026-07-08T07:49:17.591+00:00,2026-07-08T08:29:22.877+00:00
oxford-3000-american::active::adj::A2,oxford-3000-american::active::adj::A2,26,oxford-3000-american,The Oxford 3000™ (American English),A2,active,active,active,,,adj.,ค ล ่ อ ง แค ล ่ ว,คล่องแคล่ว,ua ขี ถิ ฝี,uaขีถิฝี,,,,,draft,2026-07-08T07:49:17.594+00:00,2026-07-08T08:29:22.880+00:00
oxford-3000-american::activity::n::A1,oxford-3000-american::activity::n::A1,27,oxford-3000-american,The Oxford 3000™ (American English),A1,activity,activity,activity,,,n.,ก ิ จ ก ร ร ม,กิจกรรม,ud ขึ ท ิ เ ฝ อ ะ ถี ่,udขึทิเฝอะถี่,,,,,draft,2026-07-08T07:49:17.598+00:00,2026-07-08T08:29:22.885+00:00
oxford-3000-american::actor::n::A1,oxford-3000-american::actor::n::A1,28,oxford-3000-american,The Oxford 3000™ (American English),A1,actor,actor,actor,,,n.,น ั ก แส ด ง ชา ย,นักแสดงชาย,แอ ๊ ขี เถ ื อ ร,แอ๊ขีเถือร,,,,,draft,2026-07-08T07:49:17.601+00:00,2026-07-08T08:29:22.888+00:00
oxford-3000-american::actress::n::A1,oxford-3000-american::actress::n::A1,29,oxford-3000-american,The Oxford 3000™ (American English),A1,actress,actress,actress,,,n.,น ั ก แส ด ง ห ญิ ง,นักแสดงหญิง,a ขี เถ ร อ ะ a,aขีเถรอะa,,,,,draft,2026-07-08T07:49:17.603+00:00,2026-07-08T08:29:22.892+00:00
oxford-3000-american::actual::adj::B2,oxford-3000-american::actual::adj::B2,30,oxford-3000-american,The Oxford 3000™ (American English),B2,actual,actual,actual,,,adj.,แท ้ จ ร ิ ง,แท้จริง,แอ ๊ ขี เฉ อ ะ เห ว อ ะ ล,แอ๊ขีเฉอะเหวอะล,,,,,draft,2026-07-08T07:49:17.606+00:00,2026-07-08T08:29:22.895+00:00
oxford-3000-american::actually::adv::A2,oxford-3000-american::actually::adv::A2,31,oxford-3000-american,The Oxford 3000™ (American English),A2,actually,actually,actually,,,adv.,จ ร ิ ง ๆ แล ้ ว,จริงๆแล้ว,แอ ๊ ขึ ชู เอ อ ะ ห ล ี ่,แอ๊ขึชูเออะหลี่,,,,,draft,2026-07-08T07:49:17.609+00:00,2026-07-08T08:29:22.901+00:00
oxford-3000-american::ad::n::B1,oxford-3000-american::ad::n::B1,32,oxford-3000-american,The Oxford 3000™ (American English),B1,ad,ad,ad,,,n.,โฆ ษ ณ า,โฆษณา,แอ ด ี,แอดี,,,,,draft,2026-07-08T07:49:17.612+00:00,2026-07-08T08:29:22.906+00:00
oxford-3000-american::adapt::v::B2,oxford-3000-american::adapt::v::B2,33,oxford-3000-american,The Oxford 3000™ (American English),B2,adapt,adapt,adapt,,,v.,ป ร ั บ,ปรับ,เอ อ ะ แด ๊ ผิ ถึ,เออะแด๊ผิถึ,,,,,draft,2026-07-08T07:49:17.615+00:00,2026-07-08T08:29:22.910+00:00
oxford-3000-american::add::v::A1,oxford-3000-american::add::v::A1,34,oxford-3000-american,The Oxford 3000™ (American English),A1,add,add,add,,,v.,เพ ิ ่ ม,เพิ่ม,แอ ๊ ด ี,แอ๊ดี,,,,,draft,2026-07-08T07:49:17.618+00:00,2026-07-08T08:29:22.914+00:00
oxford-3000-american::addition::n::B1,oxford-3000-american::addition::n::B1,35,oxford-3000-american,The Oxford 3000™ (American English),B1,addition,addition,addition,,,n.,ส ่ ว น ท ี ่ เพ ิ ่ ม เข ้ า ไป,ส่วนที่เพิ่มเข้าไป,เอ อ ะ A เฉ อ ะ น,เออะAเฉอะน,,,,,draft,2026-07-08T07:49:17.621+00:00,2026-07-08T08:29:22.918+00:00
oxford-3000-american::additional::adj::B2,oxford-3000-american::additional::adj::B2,36,oxford-3000-american,The Oxford 3000™ (American English),B2,additional,additional,additional,,,adj.,เพ ิ ่ ม เต ิ ม,เพิ่มเติม,เอ อ ะ ด ิ ้ เฉ อ ะ เห น อ ะ ล,เออะดิ้เฉอะเหนอะล,,,,,draft,2026-07-08T07:49:17.623+00:00,2026-07-08T08:29:22.921+00:00
oxford-3000-american::address::n::A1,oxford-3000-american::address::n::A1,37,oxford-3000-american,The Oxford 3000™ (American English),A1,address,address,address,,,n.,ที ่ อ ย ู ่,ที่อยู่,แอ ้ เด ร ะ a,แอ้เดระa,,,,,draft,2026-07-08T07:49:17.629+00:00,2026-07-08T08:29:22.928+00:00
oxford-3000-american::address::v::B2,oxford-3000-american::address::v::B2,37,oxford-3000-american,The Oxford 3000™ (American English),B2,address,address,address,,,v.,ที ่ อ ย ู ่,ที่อยู่,แอ ้ เด ร ะ a,แอ้เดระa,,,,,draft,2026-07-08T07:49:17.631+00:00,2026-07-08T08:29:22.928+00:00
oxford-3000-american::administration::n::B1,oxford-3000-american::administration::n::B1,38,oxford-3000-american,The Oxford 3000™ (American English),B1,administration,administration,administration,,,n.,ก า ร บ ร ิ ห า ร,การบริหาร,ud ด ี ม ิ wil ส ี เท ร ้ เฉ อ ะ น,udดีมิwilสีเทร้เฉอะน,,,,,draft,2026-07-08T07:49:17.635+00:00,2026-07-08T08:29:22.941+00:00
oxford-3000-american::admire::v::B1,oxford-3000-american::admire::v::B1,39,oxford-3000-american,The Oxford 3000™ (American English),B1,admire,admire,admire,,,v.,ชื ่ น ชม,ชื่นชม,แอ ่ ด ี ม ้ า ย ร,แอ่ดีม้ายร,,,,,draft,2026-07-08T07:49:17.639+00:00,2026-07-08T08:29:22.949+00:00
oxford-3000-american::admit::v::B1,oxford-3000-american::admit::v::B1,40,oxford-3000-american,The Oxford 3000™ (American English),B1,admit,admit,admit,,,v.,ย อ ม ร ั บ,ยอมรับ,เอ อ ะ ด ี ม ิ ถี,เออะดีมิถี,,,,,draft,2026-07-08T07:49:17.642+00:00,2026-07-08T08:29:22.956+00:00
oxford-3000-american::adopt::v::B2,oxford-3000-american::adopt::v::B2,41,oxford-3000-american,The Oxford 3000™ (American English),B2,adopt,adopt,adopt,,,v.,ร ั บ เล ี ้ ย ง,รับเลี้ยง,เอ อ ะ ด ๊ า ผิ ถึ,เออะด๊าผิถึ,,,,,draft,2026-07-08T07:49:17.646+00:00,2026-07-08T08:29:22.962+00:00
oxford-3000-american::adult::n::A1,oxford-3000-american::adult::n::A1,42,oxford-3000-american,The Oxford 3000™ (American English),A1,adult,adult,adult,,,n.,ผู ้ ให ญ่,ผู้ใหญ่,aay az a a,aayazaa,,,,,draft,2026-07-08T07:49:17.648+00:00,2026-07-08T08:29:22.968+00:00
oxford-3000-american::adult::adj::A2,oxford-3000-american::adult::adj::A2,42,oxford-3000-american,The Oxford 3000™ (American English),A2,adult,adult,adult,,,adj.,ผู ้ ให ญ่,ผู้ใหญ่,aay az a a,aayazaa,,,,,draft,2026-07-08T07:49:17.651+00:00,2026-07-08T08:29:22.968+00:00
oxford-3000-american::advance::n::B2,oxford-3000-american::advance::n::B2,43,oxford-3000-american,The Oxford 3000™ (American English),B2,advance,advance,advance,,,n.,ก ้ า ว ห น ้ า,ก้าวหน้า,เอ อ ะ Aun Ua,เออะAunUa,,,,,draft,2026-07-08T07:49:17.654+00:00,2026-07-08T08:29:22.972+00:00
oxford-3000-american::advance::v::B2,oxford-3000-american::advance::v::B2,43,oxford-3000-american,The Oxford 3000™ (American English),B2,advance,advance,advance,,,v.,ก ้ า ว ห น ้ า,ก้าวหน้า,เอ อ ะ Aun Ua,เออะAunUa,,,,,draft,2026-07-08T07:49:17.657+00:00,2026-07-08T08:29:22.972+00:00
oxford-3000-american::advance::adj::B2,oxford-3000-american::advance::adj::B2,43,oxford-3000-american,The Oxford 3000™ (American English),B2,advance,advance,advance,,,adj.,ก ้ า ว ห น ้ า,ก้าวหน้า,เอ อ ะ Aun Ua,เออะAunUa,,,,,draft,2026-07-08T07:49:17.660+00:00,2026-07-08T08:29:22.972+00:00
oxford-3000-american::advanced::adj::B1,oxford-3000-american::advanced::adj::B1,44,oxford-3000-american,The Oxford 3000™ (American English),B1,advanced,advanced,advanced,,,adj.,ขั ้ น ส ู ง,ขั้นสูง,เอ อ ะ ด ี แฟ ้ น ส ี ถึ,เออะดีแฟ้นสีถึ,,,,,draft,2026-07-08T07:49:17.663+00:00,2026-07-08T08:29:22.979+00:00
oxford-3000-american::advantage::n::A2,oxford-3000-american::advantage::n::A2,45,oxford-3000-american,The Oxford 3000™ (American English),A2,advantage,advantage,advantage,,,n.,ข้ อ ได ้ เป ร ี ย บ,ข้อได้เปรียบ,ud A uN waa,udAuNwaa,,,,,draft,2026-07-08T07:49:17.666+00:00,2026-07-08T08:29:22.988+00:00
oxford-3000-american::adventure::n::A2,oxford-3000-american::adventure::n::A2,46,oxford-3000-american,The Oxford 3000™ (American English),A2,adventure,adventure,adventure,,,n.,ก า ร ผจญ ภั ย,การผจญภัย,ud ด ี เฟ ้ ะ น เฉ ่ อ ร,udดีเฟ้ะนเฉ่อร,,,,,draft,2026-07-08T07:49:17.669+00:00,2026-07-08T08:29:22.992+00:00
oxford-3000-american::advertise::v::A2,oxford-3000-american::advertise::v::A2,47,oxford-3000-american,The Oxford 3000™ (American English),A2,advertise,advertise,advertise,,,v.,โฆ ษ ณ า,โฆษณา,ua ด ี เ ฝ ่ อ sme a,uaดีเฝ่อsmea,,,,,draft,2026-07-08T07:49:17.672+00:00,2026-07-08T08:29:22.998+00:00
oxford-3000-american::advertisement::n::A2,oxford-3000-american::advertisement::n::A2,48,oxford-3000-american,The Oxford 3000™ (American English),A2,advertisement,advertisement,advertisement,,,n.,โฆ ษ ณ า แอ ่ ด ี,โฆษณาแอ่ดี,เฟ ้ อ ร เถ อ ะ ส ึ เห ม อ ะ น ถึ,เฟ้อรเถอะสึเหมอะนถึ,,,,,draft,2026-07-08T07:49:17.674+00:00,2026-07-08T08:29:23.005+00:00
oxford-3000-american::advertising::n::A2,oxford-3000-american::advertising::n::A2,49,oxford-3000-american,The Oxford 3000™ (American English),A2,advertising,advertising,advertising,,,n.,ก า ร โฆ ษ ณ า,การโฆษณา,ud ด ี ula ร ท า ย ส ิ ่ ง,udดีulaรทายสิ่ง,,,,,draft,2026-07-08T07:49:17.677+00:00,2026-07-08T08:29:23.010+00:00
oxford-3000-american::advice::n::A1,oxford-3000-american::advice::n::A1,50,oxford-3000-american,The Oxford 3000™ (American English),A1,advice,advice,advice,,,n.,ค ํ า แน ะ น ํ า,คําแนะนํา,แอ ่ A ฟ้า ย ส ี,แอ่Aฟ้ายสี,,,,,draft,2026-07-08T07:49:17.680+00:00,2026-07-08T08:29:23.014+00:00
oxford-3000-american::advise::v::B1,oxford-3000-american::advise::v::B1,51,oxford-3000-american,The Oxford 3000™ (American English),B1,advise,advise,advise,,,v.,ให ้ ค ํ า แน ะ น ํ า,ให้คําแนะนํา,ua ด ี ฟ้า ย a,uaดีฟ้ายa,,,,,draft,2026-07-08T07:49:17.683+00:00,2026-07-08T08:29:23.019+00:00
oxford-3000-american::affair::n::B2,oxford-3000-american::affair::n::B2,52,oxford-3000-american,The Oxford 3000™ (American English),B2,affair,affair,affair,,,n.,ธุ ร ะ,ธุระ,เอ อ ะ แฟ ้ (ร ),เออะแฟ้(ร),,,,,draft,2026-07-08T07:49:17.686+00:00,2026-07-08T08:29:23.024+00:00
oxford-3000-american::affect::v::A2,oxford-3000-american::affect::v::A2,53,oxford-3000-american,The Oxford 3000™ (American English),A2,affect,affect,affect,,,v.,ส ่ ง ผล ก ร ะ ท บ,ส่งผลกระทบ,wa ผ ะ ขี ถึ,waผะขีถึ,,,,,draft,2026-07-08T07:49:17.690+00:00,2026-07-08T08:29:23.029+00:00
oxford-3000-american::afford::v::B1,oxford-3000-american::afford::v::B1,54,oxford-3000-american,The Oxford 3000™ (American English),B1,afford,afford,afford,,,v.,จ ่ า ย ได ้,จ่ายได้,aay TW (5) a,aayTW(5)a,,,,,draft,2026-07-08T07:49:17.693+00:00,2026-07-08T08:29:23.036+00:00
oxford-3000-american::afraid::adj::A1,oxford-3000-american::afraid::adj::A1,55,oxford-3000-american,The Oxford 3000™ (American English),A1,afraid,afraid,afraid,,,adj.,เก ร ง ก ล ั ว,เกรงกลัว,เอ อ ะ เฟ ร ั ด ี,เออะเฟรัดี,,,,,draft,2026-07-08T07:49:17.696+00:00,2026-07-08T08:29:23.040+00:00
oxford-3000-american::after::prep::A1,oxford-3000-american::after::prep::A1,56,oxford-3000-american,The Oxford 3000™ (American English),A1,after,after,after,,,prep.,ห ล ั ง จ า ก,หลังจาก,แอ ๊ ฝี เถ ่ อ ร,แอ๊ฝีเถ่อร,,,,,draft,2026-07-08T07:49:17.698+00:00,2026-07-08T08:29:23.044+00:00
oxford-3000-american::after::conj::A2,oxford-3000-american::after::conj::A2,56,oxford-3000-american,The Oxford 3000™ (American English),A2,after,after,after,,,conj.,ห ล ั ง จ า ก,หลังจาก,แอ ๊ ฝี เถ ่ อ ร,แอ๊ฝีเถ่อร,,,,,draft,2026-07-08T07:49:17.701+00:00,2026-07-08T08:29:23.044+00:00
oxford-3000-american::after::adv::A2,oxford-3000-american::after::adv::A2,56,oxford-3000-american,The Oxford 3000™ (American English),A2,after,after,after,,,adv.,ห ล ั ง จ า ก,หลังจาก,แอ ๊ ฝี เถ ่ อ ร,แอ๊ฝีเถ่อร,,,,,draft,2026-07-08T07:49:17.704+00:00,2026-07-08T08:29:23.044+00:00
oxford-3000-american::afternoon::n::A1,oxford-3000-american::afternoon::n::A1,57,oxford-3000-american,The Oxford 3000™ (American English),A1,afternoon,afternoon,afternoon,,,n.,ต อ น บ ่ า ย,ตอนบ่าย,"แอ ฝี เถ ่ อ ร น ู ้ น , ฮ","แอฝีเถ่อรนู้น,ฮ",,,,,draft,2026-07-08T07:49:17.707+00:00,2026-07-08T08:29:23.047+00:00
oxford-3000-american::afterward::adv::B2,oxford-3000-american::afterward::adv::B2,58,oxford-3000-american,The Oxford 3000™ (American English),B2,afterward,afterward,afterward,,,adv.,ห ล ั ง จ า ก น ั ้ น,หลังจากนั้น,wa Auda ร เห ว ่ อ ร ด ี สี,waAudaรเหว่อรดีสี,,,,,draft,2026-07-08T07:49:17.710+00:00,2026-07-08T08:29:23.061+00:00
oxford-3000-american::again::adv::A1,oxford-3000-american::again::adv::A1,59,oxford-3000-american,The Oxford 3000™ (American English),A1,again,again,again,,,adv.,อ ี ก ค ร ั ้ ง,อีกครั้ง,เอ อ ะ เก ๊ ะ น,เออะเก๊ะน,,,,,draft,2026-07-08T07:49:17.713+00:00,2026-07-08T08:29:23.069+00:00
oxford-3000-american::against::prep::A2,oxford-3000-american::against::prep::A2,60,oxford-3000-american,The Oxford 3000™ (American English),A2,against,against,against,,,prep.,ขั ด ต ่ อ,ขัดต่อ,เอ อ ะ เก ๊ ะ น ส ี ถึ,เออะเก๊ะนสีถึ,,,,,draft,2026-07-08T07:49:17.716+00:00,2026-07-08T08:29:23.072+00:00
oxford-3000-american::age::n::A1,oxford-3000-american::age::n::A1,61,oxford-3000-american,The Oxford 3000™ (American English),A1,age,age,age,,,n.,ang,ang,เอ ๊ 9,เอ๊9,,,,,draft,2026-07-08T07:49:17.719+00:00,2026-07-08T08:29:23.076+00:00
oxford-3000-american::age::v::B1,oxford-3000-american::age::v::B1,61,oxford-3000-american,The Oxford 3000™ (American English),B1,age,age,age,,,v.,ang,ang,เอ ๊ 9,เอ๊9,,,,,draft,2026-07-08T07:49:17.722+00:00,2026-07-08T08:29:23.076+00:00
oxford-3000-american::agency::n::B2,oxford-3000-american::agency::n::B2,62,oxford-3000-american,The Oxford 3000™ (American English),B2,agency,agency,agency,,,n.,เอ เจ น ซี ่,เอเจนซี่,เอ ๊ เจ อ ะ น สี่,เอ๊เจอะนสี่,,,,,draft,2026-07-08T07:49:17.724+00:00,2026-07-08T08:29:23.086+00:00
oxford-3000-american::agenda::n::B2,oxford-3000-american::agenda::n::B2,63,oxford-3000-american,The Oxford 3000™ (American English),B2,agenda,agenda,agenda,,,n.,ก ํ า ห น ด ก า ร,กําหนดการ,เอ อ ะ เจ ๊ ะ น เด อ ะ,เออะเจ๊ะนเดอะ,,,,,draft,2026-07-08T07:49:17.727+00:00,2026-07-08T08:29:23.090+00:00
